10567782,86841212,5355026385,86841213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10567790,91487678,1439719606,1135676855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10567791,1439720068,2891285659,91487841,1448514623,1448514622,1448514620,3015041442,2981086633,6443130725,1448514615,1439719917,1439719915,1439719912,1439719756,1439719753,3015041441,1439719646,1135676852,812699982,4055188642,1448514609,1439719616,1439719572,91487773,3015041440,1439719422,1439719411,1439719403,1439719324,4079512087,5598199840,,,,,,,,,,,,,
67476739,1448514609,814568018,5355026374,1135676875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67476740,814567998,814567983,814568052,814568008,814568061,814568022,814568073,814568034,814567988,814568043,814568016,814568069,814568030,814567985,814568039,814567993,814568047,5355026397,,,,,,,,,,,,,,,,,,,,,,,,,,
68313504,1108235257,1439717884,824063634,824063609,5760030976,824063661,824063589,822483282,1439718295,1439718297,822483261,1439718300,1439718301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68523383,824063651,3751653139,1439718175,1439717891,1108235257,1439717872,1439717839,824063624,1439717732,824063564,1439717715,1439717668,824063633,1448660739,824063562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98150996,4141535387,1135676859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98150999,812699840,4141535386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98151003,4141535386,895492309,895492312,895492313,5355026388,895492315,1439718265,895492317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98151004,814568018,814568070,814568031,4055188642,4055188644,814568036,814567991,814568045,814567998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98647170,2016905538,6141664527,2016905539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130799670,1439718328,1439718288,1439718286,1439718283,1439718206,824063651,1439718195,1668285581,1668255977,1668285578,1668255973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130799671,1439718336,1439718328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
